Sample Name	Protocol REF	Parameter Value[imaging modality]	Term Source REF	Term Accession Number	Parameter Value[imaging sequence type]	Term Source REF	Term Accession Number	Parameter Value[observation period]	Term Source REF	Term Accession Number	Unit	Term Source REF	Term Accession Number	Parameter Value[channel definition]	Parameter Value[objective lens]	Parameter Value[numerical aperture]	Raw Data File	Parameter Value[PixelsizeX]	Unit	Term Source REF	Term Accession Number	Parameter Value[PixelsizeY]	Unit	Term Source REF	Term Accession Number	Parameter Value[PixelsizeZ]	Unit	Term Source REF	Term Accession Number	Protocol REF	Data Transformation Name	Derived Data File
Medium_B2_20x_YAP	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_B2_20x_YAP_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_B2_20x_YAP_Analysis.tar
Medium_B5_20x_YAP	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_B5_20x_YAP_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_B5_20x_YAP_Analysis.tar
Medium_C2_20x_YAP	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_C2_20x_YAP_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_C2_20x_YAP_Analysis.tar
Medium_C5_20x_YAP	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_C5_20x_YAP_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_C5_20x_YAP_Analysis.tar
Medium_D2_20x_YAP	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_D2_20x_YAP_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_D2_20x_YAP_Analysis.tar
Medium_D5_20x_IgG	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: IgG1-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_D5_20x_IgG_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_D5_20x_IgG_Analysis.tar
Medium_E2_20x_YAP 10	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_E2_20x_YAP 10_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_E2_20x_YAP 10_Analysis.tar
Medium_E5_20x_YAP 10	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_E5_20x_YAP 10_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_E5_20x_YAP 10_Analysis.tar
Medium_F2_20x_YAP 10	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_F2_20x_YAP 10_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_F2_20x_YAP 10_Analysis.tar
Medium_G2_20x_YAP 10	Appendix II Microscopy	Scanning confocal microscopy	PLOSTHES	http://localhost/plosthes.2017-1#10559	single time point			24			h			Ch1: YAP-AlexaFluor488, Ch2: Phalloidin-AlexaFluor633, Ch3: DAPI, Ch4: reflection, Ch5: transmission	Zeiss Plan-Apochromat 20x/0.8NA	0.8	Medium_G2_20x_YAP 10_Raw.tar	1.2	µm			1.2	µm			2	µm			https://github.com/Mverp/Cell3DMeasurements	segmenttation, classification of migration phenotypes, calculation of cell specific and spheroid specific parameters	Medium_G2_20x_YAP 10_Analysis.tar
